experiment,best_epoch,train_accuracy,validation_accuracy,test_accuracy
LabelSmoothingLoss_Adamax,48,99.9425,55.27,55.94
CrossEntropyLoss_Adagrad,28,99.6375,54.62,54.41
CrossEntropyLoss_Adamax,45,99.315,54.62,54.7
CrossEntropyLoss_SGD_Momentum,48,95.525,54.41,54.5
LabelSmoothingLoss_SGD_Momentum,46,99.9725,54.41,54.58
LabelSmoothingLoss_Adam,28,96.9375,54.4,53.77
CrossEntropyLoss_Adam,47,97.1225,54.19,54.51
LabelSmoothingLoss_Adagrad,23,96.83,54.14,54.61
CrossEntropyLoss_SGD,48,58.425,49.92,51.35
LabelSmoothingLoss_SGD,50,53.8625,48.82,49.94
