Class,Precision,Recall,F1-Score,Support
plane,0.6022620169651273,0.639,0.6200873362445415,1000
car,0.6745689655172413,0.626,0.6493775933609959,1000
bird,0.45558086560364464,0.4,0.42598509052183176,1000
cat,0.35733573357335735,0.397,0.3761250592136428,1000
deer,0.4738400789733465,0.48,0.47690014903129657,1000
dog,0.44565217391304346,0.451,0.44831013916500995,1000
frog,0.6049751243781094,0.608,0.6064837905236907,1000
horse,0.608829568788501,0.593,0.6008105369807497,1000
ship,0.6595121951219513,0.676,0.6676543209876543,1000
truck,0.5750251762336355,0.571,0.5730055193176117,1000
