Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Test Accuracy
1,1.8696612013373406,36.1925,1.5763578057289123,43.66,45.13
2,1.4874479504907208,47.265,1.5569481998682022,45.38,46.12
3,1.350079448359787,52.515,1.618187925219536,44.39,45.08
4,1.2447241370085698,56.2475,1.4404009938240052,49.13,50.25
5,1.1456828246450728,59.9,1.4304413884878158,51.0,51.08
6,1.0570335517263716,63.0825,1.50872303545475,50.62,51.06
7,0.9701344355656083,66.1125,1.547964471578598,49.49,49.91
8,0.8838673154259943,69.235,1.4737951338291169,52.06,52.45
9,0.7969466299767707,72.1425,1.6942804902791977,48.69,50.07
10,0.7131527400320503,74.9375,1.660797780752182,52.83,53.12
11,0.6360826241742273,77.97,1.8507914930582046,49.38,49.81
12,0.562205132595293,80.81,1.7570784658193588,51.46,51.88
13,0.48817224525342323,83.24,2.2402109622955324,48.59,49.2
14,0.4112757983481049,86.4125,2.390061467885971,49.55,50.09
15,0.37527269760894166,87.655,2.030314764380455,52.58,52.99
16,0.2905824845953352,90.6625,2.2478578805923464,51.84,52.29
17,0.25029481729124764,91.9875,2.262763634324074,53.18,53.05
18,0.2065256966906748,93.55,2.4059689581394195,52.52,52.95
19,0.17701069911004633,94.56,2.8991684675216676,49.1,49.15
20,0.1436385836950533,95.8575,2.6300227344036102,52.96,53.59
21,0.11626978351432048,96.73,2.7320264279842377,53.7,53.55
22,0.08240015097674291,97.7475,2.77169109582901,54.37,54.65
23,0.06254708629315066,98.43,2.959217745065689,53.47,54.29
24,0.06370697748271903,98.405,3.25168924331665,52.41,52.74
25,0.06670398127501177,98.375,3.186655104160309,53.65,54.1
26,0.03129278370149576,99.3375,3.2343754887580873,54.17,54.43
27,0.023648121910300225,99.58,3.384380799531937,53.46,53.58
28,0.020465870367090223,99.6375,3.426262950897217,54.62,54.41
29,0.01829189163555575,99.635,3.509660744667053,54.42,54.4
30,0.011710169791854965,99.8175,3.618366855382919,54.33,54.92
31,0.00926397491104094,99.885,3.72939293384552,54.31,54.35
32,0.007599230520545867,99.9225,3.7705011665821075,54.25,54.31
33,0.006802572659661721,99.8925,3.8717180609703066,54.12,53.81
34,0.00558115327641795,99.9325,3.8936116635799407,54.21,54.4
35,0.0047951845725061025,99.9425,3.968996471166611,53.78,54.05
36,0.004125787755682068,99.9575,4.019906777143478,54.07,54.2
37,0.0036077115167181487,99.9575,4.083400726318359,54.46,54.56
38,0.003278835025574466,99.975,4.14164160490036,54.1,54.29
39,0.0028202069506559307,99.98,4.177173018455505,54.36,54.39
40,0.06985828110386148,99.715,16.848914098739623,29.14,29.68
41,0.4574845031046184,89.69,3.133684974908829,52.98,53.6
42,0.03925158535456581,99.13,3.2765466928482057,54.11,54.24
43,0.012720727937141801,99.8625,3.461804223060608,54.32,54.34
44,0.007146063050148404,99.9475,3.5646051168441772,54.23,54.16
45,0.0053201530819794365,99.9725,3.6648421049118043,54.18,54.32
46,0.004385503186921405,99.97,3.731793338060379,54.25,54.24
47,0.003790459706845462,99.97,3.7816517412662507,54.04,54.09
48,0.0031299848980003387,99.995,3.842187535762787,54.21,54.38
49,0.0029420302261355196,99.985,3.8883209943771364,54.23,54.47
50,0.0025517769294322295,99.9875,3.9268784284591676,54.23,54.45
