Class,Precision,Recall,F1-Score,Support
plane,0.5864197530864198,0.665,0.6232427366447985,1000
car,0.6525096525096525,0.676,0.6640471512770137,1000
bird,0.4436401240951396,0.429,0.4361972547025928,1000
cat,0.333976833976834,0.346,0.33988212180746563,1000
deer,0.506993006993007,0.435,0.4682454251883746,1000
dog,0.44344344344344344,0.443,0.4432216108054027,1000
frog,0.5744075829383887,0.606,0.5897810218978102,1000
horse,0.6317460317460317,0.597,0.6138817480719795,1000
ship,0.6673366834170854,0.664,0.6656641604010025,1000
truck,0.6051282051282051,0.59,0.5974683544303797,1000
