Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Test Accuracy
1,1.7237864937751917,38.4375,1.6033763021230698,43.97,44.86
2,1.4806782121111632,47.705,1.5252574414014817,46.22,47.17
3,1.3490383374463222,52.28,1.4250700384378434,49.43,50.24
4,1.2458150052720574,55.965,1.4182864814996718,50.41,51.49
5,1.14958469617139,59.2875,1.399278035759926,52.08,52.17
6,1.0617887605527403,62.565,1.404240208864212,51.54,52.16
7,0.9732390831989847,65.42,1.4242084622383118,53.47,53.51
8,0.8793863589596597,68.635,1.4766715675592423,52.61,52.69
9,0.781055748462677,71.96,1.537645435333252,53.9,54.09
10,0.7004851987407466,74.9875,1.620128720998764,53.76,54.45
11,0.6183569165551739,77.7025,1.6505419492721558,53.66,54.25
12,0.541759894721827,80.32,1.7712794721126557,52.61,53.29
13,0.47840380820499107,83.0775,1.9463029205799103,53.61,53.76
14,0.4112350506008051,85.49,2.083567777276039,52.7,53.52
15,0.3724791846077913,86.715,2.178214466571808,53.19,53.75
16,0.32976001453627446,88.23,2.3747871100902556,53.26,53.54
17,0.2921644914302097,89.63,2.4281178534030916,53.02,53.49
18,0.2535090106687728,91.075,2.6149885237216948,53.32,53.88
19,0.24487633708935636,91.5725,2.7818894505500795,53.19,53.76
20,0.22313852294994768,92.1775,2.8764011919498444,53.58,53.92
21,0.2004447619246829,93.035,2.8134781539440157,52.2,53.15
22,0.18227127564560835,93.76,3.069980871677399,53.8,53.79
23,0.18183030444345658,93.725,3.0355414032936094,52.56,52.33
24,0.18442784781288948,93.7375,3.151262480020523,52.9,52.53
25,0.1533391860545061,94.76,3.3618156969547273,52.93,53.42
26,0.1522815609054201,94.8725,3.257592165470123,53.9,53.62
27,0.1348679687614274,95.425,3.4846150815486907,53.88,53.95
28,0.13321850667144083,95.4875,3.5403943777084352,53.38,53.45
29,0.1149347529147461,96.1725,3.6752079725265503,53.66,54.11
30,0.14025079264382648,95.325,3.677941757440567,52.95,53.18
31,0.12966196668470742,95.58,3.730753567814827,53.44,53.48
32,0.12018638075726806,95.95,3.598847246170044,53.59,53.67
33,0.09828544946707737,96.795,3.8702735543251037,53.48,52.63
34,0.10348729237581894,96.62,4.092662668228149,53.7,53.73
35,0.12239349707011964,95.9325,3.8144075512886046,52.98,53.85
36,0.09778257056026701,96.765,3.98470059633255,53.54,53.48
37,0.08957816534645997,97.11,4.01021094918251,53.83,53.49
38,0.11609479889368556,96.2725,3.9789531230926514,53.93,53.12
39,0.09307186144172766,97.0,4.074335932731628,54.05,53.68
40,0.09087154397349449,97.0875,4.019822496175766,53.26,53.13
41,0.09323627615620377,96.8825,3.9984302163124084,53.35,53.42
42,0.08367067142419375,97.22,4.043142491579056,53.26,54.21
43,0.09699810659334918,96.87,4.043213802576065,53.49,53.66
44,0.09557032741748603,96.81,3.909869658946991,53.09,52.98
45,0.08167512964006442,97.3425,4.109144109487533,52.85,53.36
46,0.09008063059181544,97.0275,3.855971485376358,53.87,53.29
47,0.08903127144666234,97.1225,4.092259305715561,54.19,54.51
48,0.06787597704797414,97.77,4.332068645954132,53.9,53.77
49,0.07362415258339636,97.6,4.300152385234833,54.19,54.15
50,0.07243116230816599,97.7,4.270066016912461,53.37,52.87
