Class,Precision,Recall,F1-Score,Support
plane,0.6223350253807106,0.613,0.617632241813602,1000
car,0.6584402764067128,0.667,0.6626924987580726,1000
bird,0.43816631130063965,0.411,0.4241486068111455,1000
cat,0.3721129170230967,0.435,0.40110650069156295,1000
deer,0.4385072094995759,0.517,0.4745296007342818,1000
dog,0.46436285097192226,0.43,0.446521287642783,1000
frog,0.5828516377649325,0.605,0.5937193326790972,1000
horse,0.6966887417218544,0.526,0.5994301994301995,1000
ship,0.6335350043215212,0.733,0.67964765878535,1000
truck,0.6345238095238095,0.533,0.5793478260869566,1000
