Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Test Accuracy
1,1.760027429860109,36.78,1.5955132752656938,43.11,44.74
2,1.5091217012162421,46.43,1.511332279443741,46.21,46.65
3,1.386046446053086,51.215,1.431441143155098,49.62,51.05
4,1.2962034667373463,54.53,1.418578428030014,50.3,51.2
5,1.2045824341713243,57.8375,1.384171199798584,51.64,51.78
6,1.1215564874327106,60.5675,1.3693117111921311,52.03,53.2
7,1.0381368539135927,63.82,1.3554988890886306,53.81,54.34
8,0.9630587169319201,66.2525,1.3980303913354875,53.49,53.88
9,0.8828182516583971,68.87,1.3942539542913437,53.42,53.4
10,0.8108535382398374,71.4825,1.4166209429502488,54.0,54.25
11,0.7264402315115474,74.88,1.49779015481472,53.38,54.28
12,0.657854782168273,77.005,1.579899674654007,53.26,53.39
13,0.5771225614912191,80.0625,1.6372732669115067,53.0,53.73
14,0.5126715152506616,82.09,1.7360125839710236,53.54,54.34
15,0.46751062771317303,83.715,1.8007672011852265,53.63,54.08
16,0.3955693818201685,86.2175,1.8953283458948136,53.91,54.1
17,0.3470965132212183,87.8975,2.0121476501226425,53.97,53.88
18,0.30325278136760564,89.6425,2.131563577055931,53.58,54.13
19,0.2617802340893229,91.02,2.2640660852193832,53.21,53.51
20,0.22570043066694478,92.425,2.49414701461792,53.15,52.97
21,0.21007056985121625,92.7625,2.5019266992807387,52.74,53.12
22,0.17541760638071474,94.1525,2.648057210445404,53.22,53.98
23,0.16603796388123446,94.3925,2.701438230276108,53.63,53.4
24,0.1363188105688733,95.3925,2.9060170501470566,53.66,54.23
25,0.13546094241415618,95.3375,3.0407627880573274,52.95,53.19
26,0.13154145361037012,95.52,3.012170600891113,53.65,54.34
27,0.10217716829602126,96.5975,3.1417199194431307,52.85,53.0
28,0.09926902329561058,96.725,3.2950211465358734,52.81,52.81
29,0.08973270723489439,96.9425,3.368854945898056,53.22,54.09
30,0.08832841584826731,97.03,3.410243499279022,53.13,53.14
31,0.0983792682457122,96.6075,3.484006202220917,53.76,53.51
32,0.07560057758952782,97.58,3.5179456651210783,53.5,53.85
33,0.07601334631537936,97.5825,3.5188712239265443,53.17,52.88
34,0.07633076948677278,97.41,3.721703290939331,54.07,54.51
35,0.06358994449826942,97.87,3.648418438434601,52.87,53.82
36,0.07779927612252675,97.285,3.7654902756214144,53.05,52.89
37,0.06673182455739778,97.82,3.8172023594379425,53.5,54.17
38,0.035547251795317716,98.9125,3.9102370858192446,53.86,54.63
39,0.07585286632607317,97.5375,3.859057241678238,53.23,54.03
40,0.050023292808253676,98.3825,3.8586134254932403,53.76,54.58
41,0.0409008757845991,98.6275,4.0573665499687195,53.33,54.07
42,0.05846632476065569,97.99,4.054001516103744,53.57,53.84
43,0.06498658429878722,97.8775,4.1191452741622925,53.13,53.16
44,0.04530842573779404,98.4775,4.112662583589554,53.91,54.84
45,0.02328562832906083,99.315,4.2404009938240055,54.62,54.7
46,0.03569745071006903,98.8175,4.295003056526184,53.74,54.18
47,0.05028042796358561,98.3475,4.348476612567902,53.65,54.01
48,0.06183726911783029,97.9825,4.259845930337906,53.91,54.06
49,0.04232709406975918,98.5675,4.330690461397171,52.28,52.3
50,0.04719399245586365,98.415,4.301519733667374,53.34,53.75
