Class,Precision,Recall,F1-Score,Support
plane,0.6557734204793029,0.602,0.6277372262773723,1000
car,0.6859688195991092,0.616,0.649104320337197,1000
bird,0.440463645943098,0.418,0.4289379168804515,1000
cat,0.37759815242494227,0.327,0.3504823151125402,1000
deer,0.4328125,0.554,0.48596491228070177,1000
dog,0.43537414965986393,0.512,0.47058823529411764,1000
frog,0.6239224137931034,0.579,0.6006224066390041,1000
horse,0.5946502057613169,0.578,0.5862068965517241,1000
ship,0.6386093321134492,0.698,0.6669851887243191,1000
truck,0.6152173913043478,0.566,0.5895833333333333,1000
