Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Test Accuracy
1,2.2668262363239458,16.425,2.1333587884902956,22.14,22.25
2,1.9362562469616058,29.385,1.794333752989769,34.86,35.63
3,1.70624353095984,38.6675,1.6458190262317658,40.85,42.25
4,1.5625378774229888,44.0825,1.5516284346580504,43.98,45.52
5,1.4554060606440162,47.85,1.5235201716423035,45.83,47.3
6,1.3732700454201667,50.99,1.463543376326561,47.86,49.0
7,1.3004978318123301,53.8925,1.4355543285608292,49.56,50.48
8,1.2318504813370432,56.2425,1.38898746073246,51.02,52.41
9,1.166114166284063,58.54,1.3789069294929504,51.61,51.98
10,1.1154372745258794,60.33,1.3704627335071564,52.34,53.45
11,1.0406190225273182,62.6875,1.3940138131380082,52.09,52.28
12,0.9846705532377693,65.03,1.4232648342847825,52.21,53.32
13,0.9279173828993633,66.82,1.4443548530340196,52.31,52.09
14,0.8824472545058863,68.3975,1.4490501523017882,52.47,53.3
15,0.8085353533933117,71.11,1.4642351508140563,52.65,52.95
16,0.7579069634911361,72.8375,1.5188612431287765,52.99,53.36
17,0.7032768815566021,74.745,1.5769165396690368,53.31,53.21
18,0.6524144306683995,76.6425,1.7315440624952316,51.42,50.98
19,0.6096791824337783,78.045,1.7015899211168288,53.06,53.96
20,0.5602039776410267,80.0275,1.742550852894783,52.36,52.82
21,0.5184828354294893,81.4075,1.8354814261198045,52.43,53.32
22,0.46616808282341926,83.42,1.9647484213113784,51.4,52.35
23,0.4431881386383324,84.315,1.9530086755752563,52.12,52.64
24,0.3842159259091517,86.225,1.9568781018257142,52.91,53.5
25,0.3605339651464657,87.2,2.106241473555565,52.89,53.15
26,0.32033786794562247,88.7125,2.1886545181274415,53.02,52.79
27,0.2971111231358947,89.28,2.237539032101631,53.09,53.11
28,0.2648137845810811,90.7325,2.4305074989795683,52.22,52.82
29,0.25605039943935004,91.1,2.448630857467651,52.47,52.54
30,0.21310427376798763,92.4175,2.5644646167755125,52.74,54.14
31,0.2046408895284507,92.855,2.5989139854907988,52.74,53.1
32,0.19931017550503372,93.0375,2.762598931789398,52.61,52.29
33,0.1965380011090807,93.225,2.7483777344226836,52.95,52.56
34,0.16933834676150303,94.08,2.934861272573471,53.69,53.88
35,0.14847283710719675,94.8525,3.037141281366348,52.3,52.28
36,0.13721202442030997,95.2425,2.9964681029319764,53.5,53.85
37,0.13595943024773507,95.355,3.119207572937012,52.3,53.01
38,0.1347109222915142,95.3425,3.160160851478577,52.45,52.7
39,0.10197394682913069,96.5175,3.2606186866760254,53.3,54.49
40,0.10839145386200043,96.2875,3.4033003091812133,52.64,53.63
41,0.11726790581159531,95.965,3.4920032143592836,52.16,53.34
42,0.12343829571251656,95.8425,3.284897595643997,53.35,53.4
43,0.08998353919310934,96.9,3.515863132476807,53.77,54.16
44,0.08133576888662235,97.1575,3.700180786848068,51.56,52.06
45,0.07347048555684697,97.4375,3.5441005289554597,53.28,54.32
46,0.06831360603593717,97.7025,3.7068037748336793,53.42,53.75
47,0.10456846872712397,96.4225,3.620704835653305,51.83,53.07
48,0.13011015461057804,95.525,3.4064120769500734,54.41,54.5
49,0.06057164037398472,97.98,3.721102070808411,53.09,53.33
50,0.05262190524702239,98.2575,3.796097433567047,54.17,55.36
