Class,Precision,Recall,F1-Score,Support
plane,0.5981981981981982,0.664,0.6293838862559241,1000
car,0.6248812915479582,0.658,0.6410131514856308,1000
bird,0.4742138364779874,0.377,0.4200557103064067,1000
cat,0.3510204081632653,0.344,0.3474747474747475,1000
deer,0.5119617224880383,0.428,0.4662309368191721,1000
dog,0.45954356846473027,0.443,0.4511201629327902,1000
frog,0.5859519408502772,0.634,0.6090297790585975,1000
horse,0.558848433530906,0.66,0.6052269601100413,1000
ship,0.6528301886792452,0.692,0.6718446601941748,1000
truck,0.597444089456869,0.561,0.5786487880350696,1000
