Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Test Accuracy
1,1.4598819677996788,35.6675,1.2856615215539933,41.05,41.39
2,1.1348639248283046,47.5425,1.1538955509662627,46.11,47.49
3,1.0382314366140184,52.2925,1.1401030123233795,47.86,49.69
4,0.9627667585755609,55.945,1.1803261071443558,45.84,47.51
5,0.8953200119316198,59.3,1.1784941375255584,47.19,47.96
6,0.8371333271075206,62.6025,1.0882097512483597,51.23,51.46
7,0.7749225360572718,65.5175,1.073639191687107,52.1,51.99
8,0.7186777675227755,68.31,1.0749676898121834,52.84,53.63
9,0.6630539324632876,71.16,1.1351418390870094,51.3,50.88
10,0.6089452928418566,73.8475,1.1603593468666076,51.27,51.31
11,0.5558971762657166,76.63,1.1362323105335235,52.28,52.31
12,0.5032717334996363,79.18,1.1908077746629715,52.35,52.98
13,0.4505466437263853,81.945,1.1693522870540618,51.32,51.69
14,0.4052169839288019,84.2075,1.171232920885086,53.48,53.63
15,0.3653514307395668,86.3575,1.2072775274515153,51.59,51.17
16,0.3229438262000965,88.4425,1.204639494419098,52.31,52.65
17,0.2883115461108032,89.92,1.2702574104070663,52.66,52.55
18,0.25205760776616964,91.87,1.269108098745346,52.3,53.13
19,0.22603321407630944,92.9175,1.2846144944429398,52.31,52.77
20,0.19184385648198948,94.645,1.208152636885643,53.59,53.94
21,0.17519610213815787,95.2675,1.3502197042107582,50.89,50.46
22,0.1479715438690155,96.3025,1.273018628358841,51.85,51.81
23,0.1332599221710946,96.83,1.2283910155296325,54.14,54.61
24,0.11385211951223909,97.5925,1.3101292639970779,52.67,53.01
25,0.1001717165397231,98.075,1.280504521727562,53.01,53.27
26,0.08671843967619974,98.54,1.2375685721635818,53.84,54.09
27,0.07645746465226647,98.76,1.2720550656318665,53.04,53.38
28,0.0681277182498935,99.015,1.3325668662786483,52.25,52.29
29,0.06020158804525995,99.215,1.266875445842743,53.23,53.25
30,0.05339365616250949,99.4025,1.4081031441688538,51.93,52.23
31,0.052680637165429485,99.3025,1.2689209818840026,53.73,54.17
32,0.04292307479698567,99.575,1.2624577403068542,53.89,54.06
33,0.03895396042828727,99.66,1.3019029706716538,53.63,53.99
34,0.034914817684774946,99.735,1.2732914119958878,52.57,52.94
35,0.03181903702533169,99.7525,1.2527768909931183,53.71,54.19
36,0.028627133412156135,99.8,1.257182988524437,53.91,53.52
37,0.026614150803559906,99.815,1.2569976657629014,53.66,54.21
38,0.024518269309952,99.8325,1.2723888993263244,52.97,52.92
39,0.022750189077037915,99.845,1.2524658560752868,53.81,54.25
40,0.02227508486100253,99.83,1.2584174573421478,53.5,53.97
41,0.019207419459797016,99.8975,1.2604402959346772,53.68,54.21
42,0.017694582047451075,99.915,1.2668729901313782,53.62,53.94
43,0.017145615094786237,99.905,1.2681703329086305,53.38,53.89
44,0.015695436205121743,99.935,1.2580291360616684,53.55,53.94
45,0.014758293427954055,99.95,1.2541677892208098,53.76,53.76
46,0.013868609472966878,99.95,1.2573224902153015,53.47,54.12
47,0.013950261489078877,99.9275,1.2508902072906494,53.57,54.07
48,0.012629833546983209,99.955,1.25144761800766,53.74,53.99
49,0.011815379628804839,99.9725,1.2556255638599396,53.54,53.82
50,0.011092557637080265,99.97,1.262939453125,53.68,53.9
