Class,Precision,Recall,F1-Score,Support
plane,0.6148300720906282,0.597,0.6057838660578386,1000
car,0.6714443219404631,0.609,0.6386995280545359,1000
bird,0.43301435406698563,0.362,0.39433551198257083,1000
cat,0.3333333333333333,0.478,0.39276910435497125,1000
deer,0.5040322580645161,0.375,0.43004587155963303,1000
dog,0.481859410430839,0.425,0.45164718384697133,1000
frog,0.5493775933609959,0.662,0.600453514739229,1000
horse,0.6497695852534562,0.564,0.6038543897216274,1000
ship,0.6422101449275363,0.709,0.6739543726235742,1000
truck,0.5681601525262154,0.596,0.5817471937530503,1000
