Class,Precision,Recall,F1-Score,Support
plane,0.6219281663516069,0.658,0.6394557823129252,1000
car,0.6798748696558915,0.652,0.6656457376212354,1000
bird,0.4434156378600823,0.431,0.43711967545638947,1000
cat,0.36675461741424803,0.417,0.3902667290594291,1000
deer,0.5257393209200438,0.48,0.501829587036069,1000
dog,0.44866920152091255,0.472,0.4600389863547758,1000
frog,0.6119402985074627,0.615,0.6134663341645885,1000
horse,0.6323851203501094,0.578,0.6039707419017764,1000
ship,0.7067901234567902,0.687,0.6967545638945233,1000
truck,0.593320235756385,0.604,0.5986124876114965,1000
