Class,Precision,Recall,F1-Score,Support
plane,0.6331658291457286,0.63,0.631578947368421,1000
car,0.6720085470085471,0.629,0.6497933884297521,1000
bird,0.44264069264069267,0.409,0.42515592515592515,1000
cat,0.334503950834065,0.381,0.35624123422159887,1000
deer,0.5,0.481,0.49031600407747195,1000
dog,0.44344344344344344,0.443,0.4432216108054027,1000
frog,0.5992217898832685,0.616,0.6074950690335306,1000
horse,0.6130389064143007,0.583,0.5976422347514095,1000
ship,0.6625119846596357,0.691,0.6764561918746941,1000
truck,0.581622678396872,0.595,0.5882352941176471,1000
