Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Test Accuracy
1,1.7230614264299915,19.06,1.6173710018396377,22.89,22.71
2,1.501291706303882,27.1025,1.4095220416784286,32.37,33.08
3,1.3534983085219268,35.645,1.3043368637561799,37.81,39.5
4,1.2415475412538857,41.765,1.2250203251838685,42.49,43.67
5,1.160295609455959,45.72,1.1591018587350845,45.78,46.74
6,1.0925270140550698,49.275,1.124773696064949,47.22,48.7
7,1.0317335280643147,52.415,1.0834733694791794,49.5,50.86
8,0.9843486110875561,54.78,1.0685252353549004,50.37,51.57
9,0.9293008940235065,57.575,1.0479798659682273,51.88,52.47
10,0.8905123460824322,59.315,1.0552782997488976,51.12,52.31
11,0.8457655215718943,61.4175,1.0540867403149605,51.95,52.29
12,0.8027397249914279,63.8125,1.0595983579754829,51.37,52.1
13,0.7645116642022588,65.64,1.0458222672343254,51.87,52.74
14,0.7201969445131386,68.0675,1.040712097287178,52.4,53.08
15,0.6784956033822078,70.165,1.0591055795550346,53.08,53.99
16,0.6410378844115385,72.0125,1.0617353081703187,52.5,53.02
17,0.6014476297008005,73.93,1.0584388330578804,53.25,54.15
18,0.5638866885832161,75.645,1.077040433883667,53.07,53.62
19,0.5295636722236682,77.515,1.079099576175213,52.99,54.02
20,0.48285875009123685,80.02,1.1099379345774651,52.83,53.49
21,0.44777308584778175,81.845,1.1456146880984306,52.06,53.12
22,0.420955474589281,83.1025,1.1134476006031035,53.21,52.81
23,0.3745369859941446,85.695,1.157740944623947,53.0,53.23
24,0.34668035112368834,86.95,1.1360945031046867,53.03,53.53
25,0.31829959846985567,88.325,1.1631590127944946,53.65,54.63
26,0.27777881863390563,90.3975,1.1949186503887177,52.67,53.24
27,0.254537036749208,91.5375,1.2241145968437195,51.86,52.04
28,0.23186270683814006,92.5325,1.1835128664970398,53.46,53.92
29,0.19484109588109763,94.52,1.2176451236009598,52.93,53.12
30,0.18288264779528235,94.8525,1.2295944452285767,52.94,52.81
31,0.15483947610779172,96.125,1.193353635072708,53.29,53.88
32,0.14033494182642858,96.7125,1.2011989116668702,53.22,53.41
33,0.12015528155929724,97.495,1.2001024663448334,52.93,54.1
34,0.10508620345098957,98.025,1.1931781500577927,53.31,53.02
35,0.0875268774522338,98.575,1.1956696897745132,53.22,53.9
36,0.06917559156182465,99.1825,1.1687657535076141,53.84,54.13
37,0.059392329020674824,99.3525,1.1746397942304612,53.68,54.64
38,0.050614078238511544,99.56,1.1660958856344223,54.23,54.02
39,0.04029862241000886,99.7275,1.1637275367975235,53.84,54.19
40,0.03706929873034453,99.78,1.1605362683534621,53.89,54.18
41,0.033026550760029985,99.8075,1.162000447511673,54.1,53.91
42,0.03157259633017194,99.8175,1.1482734769582748,53.79,54.36
43,0.026187140411537163,99.88,1.1489220261573792,53.75,54.14
44,0.02220244271455297,99.9275,1.1392623737454415,54.29,54.65
45,0.019242554185259494,99.95,1.1503303542733192,53.83,54.03
46,0.016977316836357875,99.9725,1.142079670727253,54.41,54.58
47,0.015829181126585812,99.9725,1.141458797454834,53.86,54.03
48,0.014029292437206409,99.98,1.1368118986487388,53.97,54.53
49,0.01323263209526706,99.985,1.1455938085913657,54.15,54.5
50,0.012859908175791145,99.9875,1.1390937179327012,53.77,54.52
