Class,Precision,Recall,F1-Score,Support
plane,0.7703081232492998,0.825,0.7967165620473201,1000
car,0.8947895791583166,0.893,0.8938938938938938,1000
bird,0.7041015625,0.721,0.7124505928853755,1000
cat,0.6758045292014303,0.567,0.6166394779771615,1000
deer,0.8010471204188482,0.765,0.782608695652174,1000
dog,0.6981499513145083,0.717,0.7074494326591021,1000
frog,0.8232514177693762,0.871,0.8464528668610302,1000
horse,0.8224568138195777,0.857,0.8393731635651323,1000
ship,0.9016913319238901,0.853,0.8766700924974307,1000
truck,0.864423076923077,0.899,0.8813725490196078,1000
