,precision,recall,f1-score,support
plane,0.8643067846607669,0.879,0.8715914724838869,1000.0
car,0.9334657398212513,0.94,0.9367214748380668,1000.0
bird,0.8322981366459627,0.804,0.8179043743641913,1000.0
cat,0.7190569744597249,0.732,0.7254707631318137,1000.0
deer,0.8347910592808552,0.859,0.8467225234105471,1000.0
dog,0.7923771313941825,0.79,0.7911867801702553,1000.0
frog,0.9034825870646767,0.908,0.9057356608478803,1000.0
horse,0.8987730061349694,0.879,0.8887765419615774,1000.0
ship,0.9258517034068137,0.924,0.924924924924925,1000.0
truck,0.917766497461929,0.904,0.9108312342569269,1000.0
accuracy,0.8619,0.8619,0.8619,0.8619
macro avg,0.8622169620331134,0.8619000000000001,0.8619865750390071,10000.0
weighted avg,0.8622169620331133,0.8619,0.861986575039007,10000.0
