Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Test Accuracy
1,1.5463533439454,42.41,1.3055099621415138,52.5,55.45
2,1.1519984671264698,58.3125,1.3134763330221175,54.62,57.25
3,0.988452823298752,65.125,1.0457693010568618,62.09,62.53
4,0.8866587865884137,68.6575,0.9948266446590424,66.09,67.79
5,0.8072242193920597,71.75,0.890039224922657,68.28,69.32
6,0.7658019646717484,73.4125,0.8022911325097084,71.43,72.43
7,0.7262301949938391,74.88,0.7115942284464836,74.97,75.64
8,0.6725261851101164,76.5425,0.8213898189365864,72.06,73.53
9,0.652978255870236,77.235,0.6566226065158844,76.43,77.19
10,0.6264197794115467,78.3625,0.7181329064071178,75.37,76.37
11,0.6173510534368503,78.8925,0.6743909761309623,76.41,77.88
12,0.5836944798375391,79.695,0.6506234988570213,77.22,78.21
13,0.5651982707582461,80.2475,0.6406129010021686,78.48,79.5
14,0.5438255861306646,81.355,0.6305215202271939,78.03,79.45
15,0.5298809412938015,81.6925,0.6664364360272884,77.2,78.71
16,0.5101148396920246,82.4825,0.6054294928908348,78.78,79.68
17,0.499004877486806,82.765,0.5861770734190941,79.63,80.35
18,0.48162236126365177,83.5825,0.5968736086040736,80.11,80.38
19,0.4796784239210141,83.43,0.6748127900063992,77.4,78.94
20,0.4589856752924099,83.9725,0.6093999490141868,79.65,80.26
21,0.44891801210725385,84.46,0.5894678518176079,79.68,80.65
22,0.44248930815678494,84.62,0.548663430660963,81.7,81.79
23,0.4292942380449574,85.3425,0.5573782220482826,81.34,81.39
24,0.4166001916690997,85.4225,0.5290701277554035,82.25,82.63
25,0.4152007419971903,85.5775,0.5487105160951614,81.08,81.82
26,0.4013677603879552,86.105,0.5121735706925392,82.47,82.77
27,0.38934814075755464,86.505,0.5825024023652077,81.21,81.71
28,0.384009001171513,86.8525,0.5371274638921022,81.57,82.47
29,0.37936536293880196,86.9175,0.5496459409594536,82.16,82.0
30,0.37314349821039067,87.2075,0.552225024998188,81.81,81.84
31,0.368679540836887,87.2775,0.549080216512084,81.83,82.03
32,0.3574031874252732,87.6075,0.547584243118763,81.42,81.79
33,0.30798252031302,89.2275,0.4572987280786037,84.98,84.78
