Class,Precision,Recall,F1-Score,Support
plane,0.8660801564027371,0.886,0.8759268413247652,1000
car,0.9365079365079365,0.944,0.9402390438247012,1000
bird,0.7996070726915521,0.814,0.8067393458870169,1000
cat,0.7616033755274262,0.722,0.7412731006160165,1000
deer,0.851593625498008,0.855,0.8532934131736527,1000
dog,0.7896786757546251,0.811,0.8001973359644795,1000
frog,0.896,0.896,0.896,1000
horse,0.9137214137214137,0.879,0.8960244648318043,1000
ship,0.914116485686081,0.926,0.920019870839543,1000
truck,0.9227683049147443,0.92,0.9213820731096645,1000
