Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Test Accuracy
1,1.6236921670330557,39.2225,1.4034954279661178,48.84,51.05
2,1.2261705990809544,55.65,1.188577690720558,57.93,57.15
3,1.0493361930938283,62.58,1.252304993569851,57.0,56.68
4,0.9544317828621834,66.2525,1.0221616208553315,63.32,62.24
5,0.8752140083890052,69.1675,0.9145042046904563,67.94,66.22
6,0.8111883257604708,71.505,0.9056848138570786,67.92,68.64
7,0.7635868814340823,73.2875,0.7758833885192871,72.44,73.63
8,0.7176147103309631,75.285,0.8779851764440536,69.47,68.75
9,0.690306415603419,76.135,0.7216140300035476,74.76,74.55
10,0.6539771192392726,77.435,0.8090082034468651,71.88,71.64
11,0.6321302637173112,78.2425,0.762221522629261,73.72,75.22
12,0.6061137679276193,79.05,0.6533122666180133,77.29,77.66
13,0.5830555076052428,80.13,0.6655991218984127,76.33,76.69
14,0.557905463466219,81.0475,0.5944932997226715,79.3,79.12
15,0.5482678775954398,81.265,0.6654383480548859,77.16,76.15
16,0.533093250101539,81.765,0.6781903658062219,76.17,76.64
17,0.508219916539587,82.455,0.5901352737098933,79.09,79.99
18,0.5014837101386611,82.7875,0.5646547801792622,79.89,79.49
19,0.48619581597625827,83.325,0.6015837468206883,78.96,79.2
20,0.48062328794959247,83.5,0.6516323447227478,77.42,77.38
21,0.4650046024352882,83.9525,0.5683836840093136,80.27,81.13
22,0.4548520597682637,84.4725,0.6607987761497498,77.68,78.07
23,0.4391030196551305,84.97,0.5836066469550133,80.17,80.57
24,0.4316981440516794,85.3125,0.6119474284350872,80.02,79.86
25,0.38989843665414553,86.715,0.489532807469368,82.66,83.3
26,0.3713429278818665,87.305,0.4608293890953064,83.9,83.97
27,0.36325021287438214,87.5,0.4797046583145857,83.67,83.48
28,0.3594690231001301,87.68,0.49814681708812714,82.95,83.54
29,0.3532165295569001,87.9075,0.4946040015667677,82.65,82.78
30,0.348419168572517,88.03,0.4704807989299297,83.89,83.67
31,0.3424851603948387,88.2775,0.4957944344729185,83.34,82.9
32,0.34065940444636494,88.2725,0.46352094039320946,83.86,84.74
33,0.3175305039829509,89.1075,0.42395549565553664,85.2,85.25
34,0.30636890726104665,89.5225,0.40909421928226947,85.81,85.68
35,0.30135294842492244,89.7175,0.4429533123970032,85.03,85.31
36,0.29660975524953975,89.77,0.436603494733572,85.19,85.47
37,0.29519566513930157,89.8925,0.4332103878259659,85.24,85.52
38,0.29321382370344395,89.92,0.4313260205090046,85.85,85.22
